리뷰,평점,라벨링
해물라면 가격이 넘 비싸요 ㅠ,4,1
맛은 좋으나 메뉴 주문순서가 다른테이블이랑 바뀌어서 조금 기다렸던점이 아쉽습니다,3.5,0
식전빵 쫄깃하고 맛있어요,5,1
"아메리카노 7,000원 말리부선셋 12,000원 티라미수 10,000원 줄서서 구매해야돼요. 대기30분해야 받을수있어요 자리값 7천원커피인건 알겠지만 서울에서 마시던 1500원 커피보다 맛이 못하네요. 말리부선셋 티라미수보다 더 달아서 한입
대고 못마시겠네요  다행히 티라미수는 맛있었는데 그냥 케이크+커피 한잔에 경치구경하는데 의미를 두는게 맞는것같아요",1.5,0
"꼬막무침 하고 육사시미 궁합이 너무 좋고 맛있네요~~ 진짜 현지 맛집이네요~~ 사장님도 친절하시네요~~ ^^ 간도 쎄지안고 입에 착착 붙었어요 유명 맛집이라 그런지 사장님이 좋으셔서 
한참 이야기 했네요~ 너무 재밌으시고 유쾌하세요~~^^",5,1
깔끔한 맛이에요.,4,1
"가격대비 내용물과 양이 극히 적음 
별 반도 아까움 
양이 적다못해 참 말이 안나오네",0.5,0
맛나요,4.5,1
진짜 얼큰하고 맛있어요!! 수제비가 많아서 넘 좋아요! 사장님도 넘 친절하시고! 매운탕 하면 무조건 여기만 와요!!,5,1
유명한 자매국수,4,1
뷰 좋음,5,1
분위기가 너무 좋아요,4.5,1
좋아요,5,1
"대기하는 곳도 지루하지 않게 잘 해놨어요.
맛집인 이유가 있더라고요. 갈치가 너무 부드러웠어요 ㅎㅎ
센스도 있으시고 친절해서 좋았어요:)",4.5,1
"진짜 여기는 찐 맛집입니다!! 브레이크 타임에도 받아주시고 메뉴 설명도 잘해주시고 정말 너무 친절하세요 맛은 당연히 보장드립니다! 너무 다 맛있었습니다
꼭 가보세요’!!!!",5,1
사천장안횟집 VS 청초수물회 중 난 청초수물회에 한표추가!,3.5,0
"아메리칸 쿠키 가격표는 3천원인데 계산은 4천원으로 되어있음
..",2,0
맛있어용 오징어순대 대박입니다!,5,1
맛있어요,4,1
좋아요,5,1
넘 맛있게 잘 먹었어용 *•̀ᴗ•́*,5,1
"처음엔 다소 가격이 있다고 생각이 들었지만 맛보고 난 뒤엔 또 괜찮다고 생각이 들지만 그래도 가격대가 있다고 느껴진다. 자리값이라고 하기엔 너무 비싸다는 생각? 피자파스타 메뉴가 맛있었고, 베이커리는 타 대형카페에 비해 비쥬얼 대비 가격대가 괜찮다고 생각이 들었고, 미적요소가 많이 느껴졌다!",4,1
"맛있는 마르게따 피자
에이드 맛있어요
",4.5,1
서비스도 좋았고 사장님도 직원분들도 매우 친절하셨어 좋았어요.물론 회도 신선하고 좋았어요.,5,1
"냉면과 별개로 너무 맛있게 먹을 수 있었고 국물이 깊은 맛이 일품이였습니다
진짜 해운대맛집이고 해운대에서 꼭 가봐야하는 곳이에요 ㅎㅎ",5,1
"국물과 고기맛이 일품입니다
고로케도 맛있어요^^",5,1
너무 맛있어요,5,1
"딱! 내스타일이야~~~~
#강문해변맛집 #초당두부밥상",4.5,1
"제가 포장해와서 많이 식은상태로 먹었는데도 맛있어요.
코로나라서 웨이팅도 없었고, 바로 포장할 수 있었어요",4.5,1
처음 방문해서 먹었는데 삼계탕 맛있게 잘먹었습니다. 닭똥집도 찬으로 나오는데 맛나더라구요. 포장도 가능하다고합니다,5,1
오왕,5,1
"마농바게트도 맛있는데
타르트종류들도 정말 맛있어요!",5,1
딱새우를 직접까주시는 서비스도 좋았고 해산물 양이 엄청많아요 ㅋㅋ 완전 배불러요! 보말칼국수도 진짜 맛있습니다!!!,5,1
뷰 맛집이에요,3.5,0
"가격은 비싸지면 인스타 갬성 뿜뿜
사진많이 찍고 가용
아보카도 바나나 꼭 드세요",4,1
갈치계의 삼성,5,1
"동치미국물 시원하고 깔끔해요!
입맛에따라 직접 비빔 물국수로 선택해서 만들어있어서 좋아요. 기분좋게 배부르게먹고나왔습니다^^",5,1
줄서서 샀는데 1개밖에 못삼ㅠㅠ,4,1
빵이랑쿠키맛있어요,4.5,1
배부른 상태로 들어가서 남겼는데 배가 불렀어도 정말 맛있다고 느껴졌어요 1. 정말 !! 맛있어요 2. 깨끗하고 분위기도 좋고 친절해요 3. 메뉴가 몇개없어서 고민안해도 돼요 4. 선불,4.5,1
"음료 두잔 17000원
하지만 뷰값 냈다 생각해여ㅔ",4,1
"첫 방문이에요
여기 식빵 정말 맛있네요",5,1
맛있어요,3.5,0
지나가다 우연히 들어온 까페 오늘의 커피 콰테말라 맛있어요 티라미수도 강추! 부산에 한달에 한번 오는데 생각날것 같아요 다음에는 저녁에 오면 분위기 더 날듯요 ^^,4,1
알바분들도친절하고 너땜에짬뽕도 꿀맛,5,1
맛있고 분위기 좋고 전망도좋음,5,1
"커플끼리 데이트하기 너무 좋은곳. 날도 좋고.
통유리가 장점인 레스토랑. 에어콘을 틀어도 날이 뜨거워서 너무 더운것이 아쉬움... 가을에 가기에 딱인듯",5,1
일산에서만 맛있는 수준. 서울에 일식 돈까스로 떠오르고 있는 오제제와 비교불가입니다. 사이드로 나오는 소스나 장국도 대부분 시제품인 점만 봐도 디테일이 확연히 부족합니다. 좋은 고기와 숙성도는 좋지만 돈까스의 양대산맥 중 하나인 튀김스킬이 너무 떨어집니다. 조금만 시간이 지나면 눅눅해집니다. 그래서 느끼합니다. 직원들 친절하고 정적인 분위기를 위해 많은 직원을 쓰는 점은 칭찬할만한 점인 것 같네요.,3.5,0
그냥미역국에 칼국수넣은맛..!,1,0
제주도 오메기떡은 한성에서만 사요,5,1
분위기 좋아요^^ 지금~ 사회적거리 두기 때문에 1시간 정도 밖에 이용 못해요 ㅠ,4,1
좋으료오,5,1
존맛탱 사장님도 친절하심,4.5,1
"서울에서 왔습니다.
분위기가 좋네요. 커피맛은 의심 안하셔도 됩니다.",5,1
반려견 공간이 따로 마련되어있어서 너무좋았어요👍,5,1
커피한잔 하면서  노트북하는거 금지된 카페에요   노트북이 금지된곳은 처음이네요 카페가 아니라 음식점이에요 참고하세요   비싼음료시키고 금방 나왔네요 와이파이 안되고 노트북 금지니 참고하세요,1,0
코로나땜 사람이 너무많아요.대화을 넘많이함,2,0
저희 가족 4명이서 저녁식사하러 갔다왔어요. 우선 식전 빵이 굉장히 마음에 들었습니다. 샐러드도 굉장히 신선하고 맛있었구요. 스테이크와 파스타도 모두 맛있었습니다. 예약하고 가면 케이크를 제공받을수 있어서 예약을 하고 갔는데 케이크가 모두 소진되서 유기농 아이스크림으로 대신 제공받았는데 식사 후에 깔끔하게 마무리하는 기분이어서 가족들 모두 만족하고 나왔어요. 주문 받으시던 남자분도 굉장히 친절하시고 센스넘치셔서 너무 좋았어요. 이번이 3번째 방문이었는데 계속 오고싶네요.,5,1
직원분도 친절하시고 양도많고 맛있어요ㅎㅎㅎ,5,1
두부밥상으로 친구랑 먹었는데요! 자극적이지도 않고 맛있었어요! 잘 먹었습니다!,5,1
"오랜만에 방문해서 맛있게 먹고 왔어요.
늘 그렇듯 친절하시고요~",5,1
조개찜 소자 주문했는데 푸짐해서 일단 놀랐어요 리얼혜자맛집이에요ㅠ 사장님도 친절하셔서 기분 좋게 식사했습니다😊 다음에 친구들 데리고 또 오려구요ㅎㅎ,5,1
굿굿굿,5,1
2인세트 주문! ㅋㅋ   전복설렁탕 뜨끈하니 기운이 솟아요 ㅎ 물회는 진짜 시뤈하고 해장되는 느낌 ㅎ  만두도 맛나요,4,1
걍 흑임자넣은 선식맛...,3,0
쏘쏘합니다. 밥이 뜨거워서 네타 다 익겠어요,4,1
굿굿굿,5,1
너무 맛있어요 다음에 또 올래요!!,5,1
"생면이라더니 파스타 정말 맛있었구요, 스테이크도 양, 플레이팅, 맛 무엇하나 부족한 부분 없이 정말 맛있었어요! 자주 갈 것 같아요~^^",5,1
뇨끼 진짜 맛있어요 추천! 파스타도 맛있는데 좀 짜요 ㅠㅠ,4,1
"안희 돈까스 핵지림 ㅠ
그 토마토국 이름 뭐더라,, 그건 조큼 가성비 떨어지지만 여튼 돈까스 핵맛",5,1
최근 일산에서 최고의 뷰와맛이 공유되는 곳!! 너무 좋아요~~ 어마무시하게 커서 사람들 거리두기도 편하게 되구. 빵도 피자도 포케도 너무 맛있는집!! 사진뷰도 너무 좋구 암튼..가깝다면 매일 오구 싶은 곳이에요!!,5,1
런치 오랜만인데 ㅜㅜ 소스맛이 약해져서 아쉬웠습니다.,3.5,0
점심메뉴  좋아요^^,4,1
"가격대비 맛 불만족
주차 헬
그나마 직원분들 친절",3,0
좋아요좋아요,4,1
맛있어용 ㅠㅠ 흑돼지 돈까스 너무 먹고싶어서 찾아간건데 사장님들 친절하시고 음식도 너무 맛있어서 싹싹 비우고 왔어요!!! 추천입니당,5,1
맛나요😆,5,1
즉석 생선 구이 처음 먹어보는데 너무 맛있었어요. 외국인 직원분들도 많으신데 빠릿빠릿하고 유쾌하세요.,4.5,1
싱싱한 생선을  숯불에  구우니  맛있어요.,4,1
가족외식은 여기로 정했습니다!,5,1
깔끔해요,4.5,1
"역시 몰라서 못가본 명소는 많군요~
가게 분위기.음악도 아주 좋아요~^^",5,1
친절하고 맛있었어요,4,1
"회 정말 신선하고 맛있어요~!! 음식설명도 친절히 해주시고, 회 어디서 먹을지 고민하는 분들 가보시면 후회없으실거같아요!!! ",5,1
"작년 12월 크리스마스 쯤 방문했었는대 그때도 정말 1000•••% 만족 했었던 기억이 있습니다. 이번에 어떻게 기회가 돼서 제주도 여행을 다시 오게 됐는데 원래는 서쪽 코스로만 2박 하려고 했었지만 제가 너무나 이 곳 '영빈횟집'을 방문하고 
싶어서 여자친구를 설득하여 서귀포에서 1박을 하게되어 방문하였습니다. 역시나 너무나도 만족스러웠고 사장님의 친절은 1도 변하지 않았습니다. 늘 친절 그대로!!! 코로나 사태가 오래 지속되어있어서 많은 자영업자들이 힘들겠지만! 힘내십시
오! 이번 겨울에 기회가 된다면 꼭! 다금바리 먹으러 재방문 하겠습니다! 정말 기분 좋은 하루가 됐습니다. 다른 분들도 꼭! 서귀포 '영빈횟집' 방문하세요!!!!",5,1
밀면만 먹기엔 조금 심심해서 만두 추가로시켰는데 진짜진짜 맛있었어요ㅠㅠ 잘먹고 갑니다!,5,1
맛있어요,4.5,1
양이많아요,3.5,0
빵이 넘 맛잇어요..!다음에 또 올게요:),4.5,1
굿,5,1
런치코스 항상 잘 먹고갑니다 직원분도 친절,5,1
특별하지 않음😫,2,0
역시역시  재밌고 모자쓰신 직원분이랑  매니저 누나 세상 재밋고ㅋㅋㅋㅋㅋ왕친절해욥!!,5,1
맛나는데 비싸다,5,1
"역쉬 줄서서먹는이유를 알겠네요.
재방믠의사100프로~~~~",5,1
이번에 새로 추가된 메뉴인 벨벳 클라우드 밀크티(w.위스키)가 제일 좋았습니다! 또 먹고싶네요:D,5,1
추천안해요,3,0
갈치조림 인생집! 너무 맛있었어요 ㅜ 친구 생일날 여행와서 너무 친절한 사장님 두분덕에 제주에서 너무 좋는 추억 만들어갑니다.,5,1
맛있어요,4,1
완전완전 맛있어요! 꼭 드세요! 두번드세요!  고기라면 국물 정말 찐하고 해물라면 정말 시원하고 깔끔해요! 전복치즈밥.....저건 진짜 신의한수 ㅠㅠㅠㅠㅠ 명x전복 보다 훨배 맛있었어요ㅠㅠㅠ❤️,5,1
"리뷰 좋은 이유가 있음!
홀도 깨끗 널찍하고 채소도 다 싱싱했음
무엇보다 이런 무한리필류 샤브집들과 비교할때 고기가 추가 안했음에도 불구하고 꽤 많아서 좋았음",5,1
아무도 몰랐으면하는 동네맛집,5,1
맛있게 잘먹었습니다~~,5,1
분위기도 만족하고 직원분들도 친절하셔서 아주 좋았습니다,5,1
맛있고 분위기도 좋아용 ,5,1
매번 웨이팅해서 포장해서 먹었어요 역시 맛집인정. 앞다리살에 부드럽고 정성가득한 맛이 나요,5,1
사장님 완전 친절하시고 다음 제주 여행때 꼭 들릴거에요!  너무 장 챙겨주셔서 감사합니다 ❤️ 안주도 맛있었어요 제주오면 꼭 들릴 1순위!,5,1
속초커피맛이 맛있어여,5,1
"크랩을 이가격에 먹을 수 있다는게
좋은것 같습니다 *^.^*",5,1
"#부평맛집 #오구당당 #부평쌈밥맛집
#부평블루리본",4,1
중문 치킨 완전 추천합니다,5,1
안심돈까스 너무 부드럽고 양도 많아요,5,1
좋아요,5,1
분위기도 조코 좋았어요,4.5,1
첫 방문의 감동을 안고 지인과 재방문 매뉴에 반해 맛보기와 느낌을 말하다 인증샷을 깜빡  ㅠㅠ 서울목동에서온 미모의공쥬가 식단조절도 잊고 다 흡입하고 왔다 전해주시랍니다. ㅎㅎ,5,1
커피값 = 뷰값,4.5,1
"맛있게 잘먹었어요 시그니처세트 가성비굿이요
분위기굿 맛도굿 짬뽕국물최고였어요^^",5,1
좋아여,4,1
사람이 너무너무 많아서 이만큼 기다릴 맛인가? 싶지만....정말 별미에요! 고소하고 담백하고 맛있었습니다! 나름 사람이 적어서 40분 정도 기다렸지만~후회는 없어요!,4,1
보말칼국수가 너무먹고싶어서 얼마전에 신행으로 제주도 갔다가 다녀온 찬구한테 추천받아서 갔다왔어요! 너무너무 맛있었습니다 ㅎㅎㅎㅎ 음식도 빨리나왔구요 하나도 안남겼어요 보말이 잔뜩 들어가서 좋았었습니당 ㅠㅠ,5,1
바다바로앞이라 위치는 참 좋아요! 사람도 많고~ 복작복작한데 환기가 잘안되는지.. 꿉꿉한냄새와 사람들 땀냄새 등등... 그냥 음료가지고 나왔습니다..ㅎㅎ 핸드드립 커피는 맛있었어요~,3.5,0
맛있어요. 3단계 추천이여. 4단계부터는 장맛이 덜 나요.,4.5,1
진짜맛있어요!,5,1
우와. 진짜 푸짐하게 잘먹었어요. 비주얼도 맛도 최고입니다!,5,1
피자 파스타 둘다 너무 맛있어요,5,1
생각 이상으로 잘나왔습니다. ,5,1
"야채가 듬뿍 들어간 건강한 김밥, 할라피뇨가 들어가서 매콤깔끔한데 아이들은 빼달라고 하는게 좋을듯... 만족스럽지만 가격은 좀 착해졌으면... #송도김밥 #건강김밥",4,1
정말 맛있네요 !  막국수는 잊고 있다가 다 먹어 가고 찍었네용 😱 직원분들 친절하세요❤️,5,1
1년만에 재방문했는데 여전히 맛있네요!,5,1
좋아요,5,1
"맛나지만 역시 가게에서 반찬과 같이 먹는게 최고.
포장은 그맛까지 안가는듯",4.5,1
"사시미,생구이 맛있음ㅎㅎ",5,1
굳 진짜 맛있어요 마농바게뜨...👍👍👍👍,5,1
굿,4,1
"지난 방문보다 가격은 올랐지만
밸런스 좋은 육수는 참 좋아 종종 찾는 곳입니다.",5,1
"분위기도 좋고 리조또 너무 맛있어요!
특히 만조 트러플 크림 리조또가 너무 너무 맛있었어요!",5,1
너무 맛나요,5,1
제주도 놀러갔다가 리뷰괜찮고 별점 좋아서 다녀왔습니다. 직원분들도 부담없이 친절하시고 음식도 너무 잘나왔습니다^^,5,1
말차아보카토 맛나요,4.5,1
좋아요,4,1
"모든 음식 다 맛있었습니다
그중에서도 갈치 구이랑 고등어 조림이 특히 맛있었어요! 사모님 응대도 너무 좋으시고 ㅎㅎㅎ다음에도 재방문 의사 있습니다 ㅎㅎ",5,1
"남포 카마타케제면소!
직접 뽑는 수타면이라 쫄깃하고, 어묵튀김이랑 인절미 튀김 너무 맛있어요ㅠㅠ❤️",5,1
"올해 여름코스도 너무 좋았습니다. 다만, 단체 손님들이 다소 시끄러웠어요ㅠㅠㅠ티마스터 말도 끊고, 깔깔거리셔서 집중하기 좀 어려웠습니다.",4.5,1
사장님 진짜 너무너무 친절하셨어요 ~~ 입장부터 계산할 때까지 정말 세심하고 다정하셔서 감동했습니다 ! 모듬회 대자 먹었는데 회도 다른 요리도 밑반찬도 신선하고 맛있어서 식당으로써도 최고였습니다 :-) 동생이 육지 사람 놀러 오면 데려간다고 해서 갔는데 과연 그럴만했어요 👍 다음에도 꼭 찾아가고 싶은 곳이에요 ~~ 좋은 기억 심어주셔서 감사합니다 !,5,1
딸기찹쌀떡도 맛있고 친절하세요.,5,1
음식도 맛있구 친절 했어요! 분위기도 좋구요!!,4,1
자리들도 이쁘고 케잌도 맛있어요!,5,1
아주 핫한곳 앉기엔 불편하고 자리도 많지 않음 위에 크림은 많이 꾸덕하지는 않음 사장님들 친절함 내 취향은 더 꾸덕하고 단거지만 맛있음,5,1
맛있어요,5,1
맛있어요~~,5,1
감자떡 존맛탱,5,1
앙버터맛집이엿는데 빵을이제구워서줌..버터다녹고 맛이변함 테이블도너무꽉채워놔서 예전느낌1도없어요,3,0
"제주도의 특별한 메뉴.
비주얼과는 다르게 부담스럽지 않고 맛있어요.
해장보다는 든든한 식사로 좋아요",4,1
"수제버거 생각나면 자주 오는 곳이에요!
음식도 맛있고 공간도 예쁘고 친절하세요 :)",5,1
직원분도 친절하고 음식도 다 맛있었어용!,5,1
"꽈리대패 못 잃어
사장님 적게 일하고 많이 벌어 부자되세요
없어지지 마세요",5,1
"경주식당 연신내점 세번째 방문입니다 오늘 역대급으로 맛있었어요!!!!!!!! 고기 너무 맛있고 부드럽고..  삼겹살먹고 흑돼지 생각나더라는 ㅠㅠ  카레도 너무맛있었어요  대파랑 마늘후레이크 신의한수!! 고기 육즙 팡팡 터지고 간도 딱맞고 매번 
방문 할때마다 직원분들 너무 친절하셔서 더 기분 좋았어요 인테리어도 너무 깔끔하고 화장실 이솝 핸드워시까지 ㅠㅠ  앞으로도 고기생각날때마다 방문할게요 잘먹었습니다:-)",5,1
피자 도우도 맛있고 찍어먹는소스도 좋고 새우도실하고ㅋ 까르보나라가 되게 꾸덕하니 진한맛이었어요.,5,1
좌석이 다양해요,5,1
"해물이 넘신선해서 맛있게 잘먹었어요
추천~~~",5,1
갈치조림 맛있어요.,5,1
좋아요,3.5,0
탁 트인 분위기 맘에들었어요^^ 음식맛은 쏘쏘 ,4,1
"리얼 찐 맛집👍🏻👍🏻인생고깃집 될거같아요 
다음엔 강릉 놀러온 김에 들리는게 아니라 여기를 들리러 강릉올거에여 >< 사장님도 나무 쏘 스윗,친절,멋지심!!! 배가 터질거같아서 아쉽게 냉칼국수는 포기했지만 담엔 도전!!! 찐 맛집 만들어주셔서 사장님께 감사드려욤!!!!",5,1
맛있다,4.5,1
비빔밥 너무 맛있었습니다 ㅎㅎ 친구랑 같이 갔는데 저희 둘 다 완전 대만족!! 맛있는 음식 감사합니당~~,5,1
"음식을 좀 오래 기다렸지만, 직원분들 모두 활기 차고 친절했어요. 음식도 맛있었습니다.",4.5,1
달달달~~~파주마늘빵이더나은뎁ㅠ 개취,3,0
넘나 맛있어요 반찬까지 다 정갈하게 맛있었어요,5,1
직원분들도 친절하시고 음식도 좋았습니다^^,5,1
제가 먹어본 돈가스 중에 단연 최고에요. 웨이팅도 금방금방 줄어들어서 좋았어요👍 고기가 엄청 부드럽고 안심돈가스는 정말 최고에요,5,1
.,3,0
파스타랑 스시 너무 맛있어요~,5,1
맛있어요,4.5,1
"명란김밥 맛있습니다
컵라면은 평범",5,1
2인세트가 꿀이네요 ㅎㅎㅎ 테라스 쪽에 앉으면 연트럴파크가 다 보이는 뷰도 있어서 데이트 장소로 좋아요,4.5,1
뷰 굿,4.5,1
맛잇어요,5,1
"오랜만에 속초에 와서 ,물회를안먹으면 서운할거같아  ~물회맛집검색해서 방문했는데,처음엔횟집이라 별로기대하지 않았지만,먹어보니 정말 추천할만하네여~",5,1
"완전 만족스런 식사였어요
음식도 깔끔하고, 정갈하고 분위기도 좋아요",5,1
양꼬치 맛잇어요,5,1
"버섯수끼D 런치코스 먹었습니다.
깔끔하고 맛있었으나 점심시간이라 손님이 좀 있어 응대가 빠르지 못한 점이 다소 아쉬웠습니다.",4.5,1
프라이빗한 개인화로 넘 좋았어요!,5,1
"맛이괜찮네요 홍대맛집인듯ㅎㅎ
#홍대맛집",5,1
"코스별로 나오는 차들
전부다 맛있었어요^^",5,1
맛은 그닥 분위기 엄청청 굿,5,1
적극추천 우선 친절하고 재료 신선하고 분위기 좋고 맛까지 좋아요 송도맛집 인정합니다,5,1
만석닭강정 매운맛 샀는데 매웠네요,5,1
ㅣ,3.5,0
최애 중국집이야요,4.5,1
좋아요,3.5,0
맛잇고친절햇어요 먹슨즐거움도잇고 집도이쁘고좋앟어요,5,1
"크로플짱맛~!
커피랑 코코넛스무디도 맛있었어요",5,1
"고수 따로 달라고 하니 챙겨주셨고, 10개월 아가가 있었는데 의자도 셋팅해주시고 감사했습니다! 그리고 나오는길에 아가엄마가 핸드폰이랑 물티슈 두고 왔는데, 네이버예약덕에 연락 바로 주셔서 금방 찾을수 있었어요ㅠㅎㅎ 네이버예약 꼭 하고 가세용 ㅋㅋ 서비스 음료 라임에이드에는 코코넛도 들어있답니다 ㅋㅋ",5,1
뷰맛집 커피맛집 좋아요~^^,5,1
깔끔하고 맛있어요 다음에 또 올게요,5,1
음료도 맛있고 디저트도 맛있는데 저는 밥으로 먹을 수 있는 메뉴들이 다 맛있었던 거 같아요 딱 뭐랄까...카공전용인 느낌? 카페도 넓고 테이블도 넓고 다 좋아요! 다들 적당히 말하면서 되게 고급진 곳이라 처음엔 살짝 부담스러웠는데 지금은 무조건 친구랑 만나면 여기만 와요~ 너무 좋아요,5,1
맛있는데 가격이 비쌈 양도 많아서 둘이 비빔밥 밖에 못멋름,3.5,0
인생 오징어튀김이에요,5,1
"종 종 오는곳인데.. 커피 맛도 좋구요 친절하세요.. 
브런치도 굿^^",5,1
너무친절하고 너무만족한 식사였어요 제주도착해서 시작부터 너무만족해서 이번여행 실패없을것같네욯ㅎㅎㅎ 내년에 또올께요 번창하세요~~~~~~~,5,1
좋아요,5,1
너무 기대가 컸는지 다른데서 먹었던 닭강정보다 퍽퍽하고 튀김도 별로였네요. 별1점도 아까워요,0.5,0
맛있어요 좀비싸지만요,5,1
"처음 방문했는데 엄청달긴해도 맛있어요
줄서서 먹을정도는 아니에요",5,1
"언제 가도 늘 맛있어요
식사에 집중할수잇어서 아주 좋아요",5,1
맛있어요,5,1
비빔막국수 맛있어요,4.5,1
굿,3.5,0
"맛있고, 친절합니다.",4.5,1
"분위기 좋고 완전 맛있어요!!
정신없이 먹느라 사진을 못 찍어서 아쉽네요ㅠ",5,1
맛있어용. 남자친구랑 같이 먹으러왔는데 가성비도 괜찮고 좋아용~~~~,4.5,1
굿,4.5,1
"여길 왜 가는지...ㅠㅠ 매장관리 도...영.. 음식 맛도 너무 짜다.. 손님의 배려가 없는듯... 화장실도 불편...매장도 좀 깨끗하지 못한 이미지.. 먹는 동안 물만 1리터 먹은듯 하네요. 정확한 리뷰를 달아야되는데 현실과 동 떨어진것 같습니다. 다신 
가고 싶지 않네요.",0.5,0
친절하고 맛있어요 짱,5,1
와. 맛잇네요~ 매장 찾는데 너무 어려웟아요,5,1
너무맛있어서 아침으로 신랑도저도 두공기에 애기도 밥한공기를 다먹었어요!! 아이랑 같이와서 밥먹기좋아요!,5,1
"포장해서 먹었어요~홀에서 뜨끈할때 먹으면 더 맛있었을것같아요~!
나중에 또 올께요!!",5,1
도두항 해녀와바다 완전 맛집입니다. 사장님이 추전 해주신 해녀모듬회코스와 통갈치 구이 한상은 제주도 와서 먹은 음식중 최고었습니다. 다음에 또 올게요,5,1
맛있어요 😛,4,1
계산해주시는분이 바쁘셔서 쫌그런것빼곤 다좋아요,3.5,0
"꽃삼겹은 처음 먹어보는데 너무 맛있게 잘먹었어요!!
매장이 넓어서 맘이 들고 맛고 있고 친구가 가자고 한이유가 있는거 같아요!!",5,1
"모둠구이먹었는데 재료가신선하고,씹을수록 고소한맛이 느껴지는게 맛있었어요~매장,화장실모두 청결하고~ 친절하시고~ 만족스러운 한끼였습니다~.",5,1
"친절하시지만 양 적고 맛 별로.. *보말죽 : 굉장히 싱거움, 무슨 맛인지 모르겠음, 환자가 먹기에는 좋음.. *보말칼국수 : 미역국칼국수..엄청 짬 ㅠㅠ 죽과 미역국(칼국수)을 같이 먹어야 먹을만함.. 죽은 싱겁고 칼국수는 너무 짬!",1.5,0
"한마디로 정말 맛잇네요  사장님 두분이셧는데 너무 친절하시구요 생삼겹이랑 처음으로 돼지꼬리 소금맛 먹었는데  아 돼지꼬리가 이렇게 맛잇는거엿는지 몰랏어요 정말 너무 맛잇어요 중
간에 연골이 연하게 중간중간씹히는데  너무 맛잇어요 속초오면 매번 갈꺼에요 너무 맛잇습니다",5,1
"예전보다 양도 적고
국물맛이 진한게 없네요
실망했어요",3,0
"맛있구요
국수는 리필도 해줘요",5,1
"신선한 약초반찬과 통통히 살많은 
보리굴비로 너무 좋았어요 ㅎ",5,1
"둘이 고기국수 비빔국수 돔베고기 1/2시켰는데 돔베고기 안시켰음 아쉬울 뻔 했어요 보쌈보다 부드럽고 쫄깃하니 넘 맛있었습니다 
대기가 많아 좀 오래 기다려야 하는 것 말고는 다 좋아요",5,1
들깨삼계탕 맛있어요 ,4,1
너무 맛잇고 분위기도 조아요~,4,1
굿,5,1
명태회가 넘맛있었어요,5,1
말해뭐해,5,1
음식도 너무 맛있고 자리도 뷰 좋은 곳으로 옮겨주셔서 너무 좋은 추억 만들고 갑니다. 감사합니다. 또 이용할게요~!,5,1
맛있는만두,5,1
데스크에서 입장할때부터 퉁명스럽게 대하시더라고요 바쁘고 정신없다고 고기 구어주시는것도 잊고 고기 탈까봐 저희가 구웠고요 친절하게 챙겨주시려고 했던분도 계셨는데 몇몇분때메 기분이 좋지 않았네요 고기맛은 좋았어요!,0.5,0
포장해서 먹었는데도 너무 맛있었어요,5,1
맛나요,5,1
"조개가 신선하고 갈비도 맛있었습다
담에 재방문 하겠습니다",5,1
시설이 깔끔하고 좋아요,5,1
"척스테이크와 클래식 둘다 너무 맛있게 잘 먹었어요!!
소스랑 너무 잘 어울리네요!",5,1
고기간이 너무 강했어요 다른것들은 맛있어요,3.5,0
찐 로컬 맛집이예요~ 외국인들도 많이 오고 ㅎㅎ 한국입맛에 맞추지 않은 찐 맛집,5,1
파전이 물기가 매우 많아요 ~칼국수 맛있어요,4,1
치킨수블라키아 그릭피자 모두 맛있었습니다~또 방문할게요^^ ,5,1
드셔보신 분들은 아실꺼에요 분위기도 짱,5,1
굿,4,1
"너무맛있어서   깜짝놀랐습니다.
사장님도 넘 친절하셔서 기분좋게 좋은시간 보내고왔습니다. 담에 또갈거에요~^^!!",5,1
친절하시고 뷰 좋았어요,5,1
맛있어요 ,4.5,1
냉우동이 졸깃해서  맛나네요 근데 먹는방법안내에 나온갓처럼 계란노른자와 함께 먹으면 비려요. 따뜻한 우동의 국물도 살짝 비릿한것같구요. 돈까스는 참 맛나요 고로케 감자 넘 부드럽구요. 가격은 좀 비싼듯하구요.,4,1
아이들을 위한 스케치북도 준비해주시고 많이신경 써주셔서 감사했습니다! 음식도 너무 맛있었어요~,5,1
맛있어요 분위기도 너무 좋아요,4,1
진짜맛있어여,5,1
야외에서 분위기있게 잘먹고 갑니다!! 맛도 좋았어용ㅎㅎ,5,1
"처음 문을 열고 들어가자 마자 사람들 웅성웅성거리는 소리가 대단했어요. 평일이였는데도 사람 너무 많아서 뭐든지 대기였고 결국 빵만 포장해서 집에서 
먹었어요.",2.5,0
두번째 방문인데 항상 맛있어요!,5,1
자작냉우동이 면발이 쫄깃하고 다음에 오면 어묵 추가해서 먹을려고요ㅎㅎ,5,1
버섯샐러드 맛나요,5,1
재방문의사 200% !!,5,1
맛나요,3,0
오늘도 맛나게!,5,1
맛있어요,5,1
분위기는 좋지만 비싸다,4,1
커피가 맛있네요,3.5,0
"진짜 여기는 루프탑 포토존이 그림이네요 ~
제주시에서 멀리 온 보람을 느끼게 해주는 편안한 곳 ~ ^^
예비 맘인데 태교하고 가요 ~ 좋은것보고 이쁜 디저트 먹고 힐링 *^^*",5,1
